teamName;numCupsWon
Algeria;0
Algeria;0
Angola;0
Angola;0
Argentina;3
Australia;0
Austria;0
Belgium;0
Bolivia;0
Bosnia and Herzegovina;0
Brazil;5
Bulgaria;0
Cameroon;0
Canada;0
Chile;0
China PR;0
Colombia;0
Costa Rica;0
Croatia;0
Cuba;0
Czech Republic;0
Czechoslovakia;0
Denmark;0
DR Congo;0
East Germany;0
Ecuador;0
Egypt;0
El Salvador;0
England;1
France;2
Germany;4
Ghana;0
Greece;0
Haiti;0
Honduras;0
Hungary;0
Iceland;0
Iran;0
Iraq;0
Israel;0
Italy;4
Ivory Coast;0
Jamaica;0
Japan;0
Kuwait;0
Mexico;0
Morocco;0
Netherlands;0
New Zealand;0
Nigeria;0
North Korea;0
Northern Ireland;0
Norway;0
Panama;0
Paraguay;0
Peru;0
Poland;0
Portugal;0
Qatar;0
Republic of Ireland;0
Romania;0
Russia;0
Saudi Arabia;0
Scotland;0
Senegal;0
Serbia;0
Slovakia;0
Slovenia;0
South Africa;0
South Korea;0
Spain;1
Sweden;0
Switzerland;0
Togo;0
Trinidad and Tobago;0
Tunisia;0
Turkey;0
Ukraine;0
United Arab Emirates;0
United States;0
Uruguay;2
Wales;0
West Germany;0
Yugoslavia;0
